ID,Checklist,Title,Category,Sub-Category,Priority,Auto,Description,Step No,Test Steps,Expected Result,Test Data,Result
TXS_007,"Kiểm tra hiển thị thời gian của các giao dịch theo định dạng ""X secs ago"" (mới tạo), ""1 min ago"" (khoảng 1 phút), ""X mins ago"" (từ 2 phút trở lên) và tự động cập nhật khi thời gian thay đổi mà không cần refresh trang",Relative time display for transactions,Transaction Time Display,Relative Time Formatting,2,No,Verify that transaction times are displayed in appropriate relative format and update automatically,1,Navigate to https://seitrace.com/txs and observe newly created transactions (less than a minute old),"Time is displayed as ""X secs ago"" where X is the number of seconds",N/A,
,,,,,,,,2,Find a transaction that was created approximately 1 minute ago,"Time is displayed as ""1 min ago""",N/A,
,,,,,,,,3,Find transactions created 2 or more minutes ago,"Time is displayed as ""X mins ago"" where X is the number of minutes",N/A,
,,,,,,,,4,"Note the time of a newly created transaction, wait for 2 minutes without refreshing the page","The time display automatically updates from seconds to ""1 min ago"" and then to ""2 mins ago""",N/A,
TXS_008,"Kiểm tra hiển thị đầy đủ các cột: Trx hash, Status, Type & Method, Block, From/To, Value SEI, Fee SEI",EVM tab transaction table columns,Transaction Table Display,EVM Tab Columns,1,Yes,Verify that EVM tab displays all required columns,1,Navigate to https://seitrace.com/txs,EVM tab is selected by default,N/A,
,,,,,,,,2,Check for presence of all required columns in the transaction table,"The following columns are displayed: Trx hash, Status, Type & Method, Block, From/To, Value SEI, Fee SEI",N/A,
TXS_009,Kiểm tra hiển thị đúng định dạng và giá trị cho mỗi giao dịch trong bảng,Transaction data format and values in EVM tab,Transaction Table Display,Transaction Data Format,2,No,Verify that each transaction displays correct format and values in the EVM tab,1,Navigate to https://seitrace.com/txs,Transaction table is displayed with multiple transactions,N/A,
,,,,,,,,2,Check the format and values for Trx hash column,Transaction hashes are displayed in hexadecimal format with correct copy icon,Example hash: 0x33d3f10ce2cfa...,
,,,,,,,,3,Check the format and values for Status column,Status shows either Success (green) or Error (red) with appropriate icon,N/A,
,,,,,,,,4,Check the format and values for Type & Method column,"Shows transaction type such as ""Contract call"" with parameter count like ""+1"" or ""+2""",N/A,
,,,,,,,,5,"Check the format and values for other columns (Block, From/To, Value SEI, Fee SEI)",All values are displayed in appropriate format,N/A,
TXS_010,Kiểm tra các biểu tượng trạng thái (Success/Error) hiển thị chính xác theo kết quả giao dịch,Transaction status icons,Transaction Status Indicators,Status Icons,2,Yes,Verify that transaction status icons correctly reflect the transaction outcome,1,Navigate to https://seitrace.com/txs,Transaction table is displayed with multiple transactions,N/A,
,,,,,,,,2,Find transactions with successful status,Success status is displayed with green checkmark icon,N/A,
,,,,,,,,3,Find transactions with error status,Error status is displayed with red error icon,N/A,
TXS_011,Kiểm tra bảng trong tab Native SEI không hiển thị cột From/To,Native SEI tab column structure,Transaction Table Display,Native SEI Tab Columns,1,Yes,Verify that the Native SEI tab transaction table does not display From/To column,1,Navigate to https://seitrace.com/txs,EVM tab is selected by default,N/A,
,,,,,,,,2,"Click on the ""Native SEI"" tab",Native SEI transaction table is displayed,N/A,
,,,,,,,,3,Check the columns in the Native SEI transaction table,From/To column is not present in the table,N/A,
TXS_012,"Kiểm tra hiển thị thông báo ""Notes: As part of data retention policies, /seiprotocol.seichain.oracle.MsgAggregateExchangeRateVote transactions are pruned once they exceed a three-month threshold.""",Native SEI data retention policy note,Transaction Table Display,Native SEI Notes,1,Yes,Verify that Native SEI tab displays the data retention policy note,1,Navigate to https://seitrace.com/txs,EVM tab is selected by default,N/A,
,,,,,,,,2,"Click on the ""Native SEI"" tab",Native SEI transaction table is displayed,N/A,
,,,,,,,,3,Check for presence of data retention policy note,"Note is displayed with text: ""Notes: As part of data retention policies, /seiprotocol.seichain.oracle.MsgAggregateExchangeRateVote transactions are pruned once they exceed a three-month threshold.""",N/A,
TXS_013,Kiểm tra hiển thị đúng định dạng và giá trị cho mỗi giao dịch trong bảng Native SEI,Transaction data format and values in Native SEI tab,Transaction Table Display,Native SEI Transaction Data,2,No,Verify that each transaction displays correct format and values in the Native SEI tab,1,Navigate to https://seitrace.com/txs,EVM tab is selected by default,N/A,
,,,,,,,,2,"Click on the ""Native SEI"" tab",Native SEI transaction table is displayed,N/A,
,,,,,,,,3,Check the format and values for Trx hash column,Transaction hashes are displayed in hexadecimal format with correct copy icon,Example hash: 578AF9E18E7B2EC864F640B51304F8...,
,,,,,,,,4,Check the format and values for Status column,Status shows Success with green checkmark icon,N/A,
,,,,,,,,5,Check the format and values for Type & Method column,"Shows transaction type such as ""Transaction""",N/A,
,,,,,,,,6,"Check the format and values for other columns (Block, Value SEI, Fee SEI)",All values are displayed in appropriate format,N/A,
TXS_014,"Kiểm tra khi nhấn vào transaction hash, hệ thống chuyển đến trang chi tiết giao dịch với URL có dạng https://seitrace.com/tx/{hash}",Navigation to transaction details page,Transaction Navigation,Transaction Details,1,Yes,Verify that clicking on a transaction hash navigates to the transaction details page,1,Navigate to https://seitrace.com/txs,Transaction table is displayed with multiple transactions,N/A,
,,,,,,,,2,Click on a transaction hash in the Trx hash column,User is navigated to transaction details page with URL format https://seitrace.com/tx/{hash},"Example: If clicking on hash 0x33d3f10ce2cfa..., URL should be https://seitrace.com/tx/0x33d3f10ce2cfa...",
TXS_015,"Kiểm tra khi nhấn vào block, hệ thống chuyển đến trang chi tiết block với URL có dạng https://seitrace.com/block/{blockID}",Navigation to block details page,Transaction Navigation,Block Details,1,Yes,Verify that clicking on a block number navigates to the block details page,1,Navigate to https://seitrace.com/txs,Transaction table is displayed with multiple transactions,N/A,
,,,,,,,,2,Click on a block number in the Block column,User is navigated to block details page with URL format https://seitrace.com/block/{blockID},"Example: If clicking on block 142,644,560, URL should be https://seitrace.com/block/142644560",
TXS_016,Kiểm tra chức năng copy khi nhấn vào biểu tượng copy bên cạnh các giá trị,Copy functionality for transaction data,Transaction Data Interaction,Copy Functionality,2,Yes,Verify that clicking on copy icons correctly copies the associated values,1,Navigate to https://seitrace.com/txs,Transaction table is displayed with multiple transactions,N/A,
,,,,,,,,2,Click on the copy icon next to a transaction hash,Transaction hash is copied to clipboard successfully,N/A,
,,,,,,,,3,Click on the copy icon next to an address in From/To column,Address is copied to clipboard successfully,N/A,
TXS_017,"Kiểm tra khi nhấn vào địa chỉ có icon address (EOA), hệ thống mở trang address details với tag EOA",Navigation to EOA address details,Address Navigation,EOA Address Details,2,Yes,Verify that clicking on an EOA address navigates to address details page with EOA tag,1,Navigate to https://seitrace.com/txs,Transaction table is displayed with multiple transactions,N/A,
,,,,,,,,2,"In the From/To column, identify an address with EOA icon (regular wallet address)",Address is displayed with appropriate EOA icon,N/A,
,,,,,,,,3,Click on the EOA address,User is navigated to address details page with EOA tag selected,Example address: 0x0348D791..9dbEDE230,
TXS_018,"Kiểm tra khi nhấn vào địa chỉ có icon contract, hệ thống mở trang với tiêu đề ""Contract details""",Navigation to contract details,Address Navigation,Contract Details,2,Yes,Verify that clicking on a contract address navigates to contract details page,1,Navigate to https://seitrace.com/txs,Transaction table is displayed with multiple transactions,N/A,
,,,,,,,,2,"In the From/To column, identify an address with contract icon",Address is displayed with appropriate contract icon,N/A,
,,,,,,,,3,Click on the contract address,"User is navigated to contract details page with title ""Contract details""",Example address: 0x9FC0Bd65...4fbe2FbcA,
TXS_019,"Kiểm tra contract chưa verify hiển thị icon màu xám với tooltip ""contract""",Unverified contract icon and tooltip,Address Display,Unverified Contract Indicator,2,Yes,Verify that unverified contracts display gray icon with correct tooltip,1,Navigate to https://seitrace.com/txs,Transaction table is displayed with multiple transactions,N/A,
,,,,,,,,2,"In the From/To column, identify a contract address that is not verified",Contract is displayed with gray contract icon,N/A,
,,,,,,,,3,Hover over the gray contract icon,"Tooltip appears with text ""contract""",N/A,
TXS_020,"Kiểm tra contract đã verified hiển thị icon màu xanh lá với tooltip ""Verified contract""",Verified contract icon and tooltip,Address Display,Verified Contract Indicator,2,Yes,Verify that verified contracts display green icon with correct tooltip,1,Navigate to https://seitrace.com/txs,Transaction table is displayed with multiple transactions,N/A,
,,,,,,,,2,"In the From/To column, identify a contract address that is verified",Contract is displayed with green contract icon,N/A,
,,,,,,,,3,Hover over the green contract icon,"Tooltip appears with text ""Verified contract""",N/A,
TXS_021,"Kiểm tra contract là proxy và đã verified hiển thị icon xanh lá proxy với tooltip ""Verified proxy contract""",Verified proxy contract icon and tooltip,Address Display,Verified Proxy Contract Indicator,2,Yes,Verify that verified proxy contracts display green proxy icon with correct tooltip,1,Navigate to https://seitrace.com/txs,Transaction table is displayed with multiple transactions,N/A,
,,,,,,,,2,"In the From/To column, identify a proxy contract address that is verified",Contract is displayed with green proxy contract icon,N/A,
,,,,,,,,3,Hover over the green proxy contract icon,"Tooltip appears with text ""Verified proxy contract""",N/A,
TXS_022,"Kiểm tra contract proxy chưa verify hiển thị icon màu xám proxy với tooltip ""Proxy contract""",Unverified proxy contract icon and tooltip,Address Display,Unverified Proxy Contract Indicator,2,Yes,Verify that unverified proxy contracts display gray proxy icon with correct tooltip,1,Navigate to https://seitrace.com/txs,Transaction table is displayed with multiple transactions,N/A,
,,,,,,,,2,"In the From/To column, identify a proxy contract address that is not verified",Contract is displayed with gray proxy contract icon,N/A,
,,,,,,,,3,Hover over the gray proxy contract icon,"Tooltip appears with text ""Proxy contract""",N/A,
TXS_023,"Kiểm tra hiển thị số lượng item bổ sung dưới dạng +1, +2 khi có nhiều hơn 1 item",Multiple method indicators in Type & Method column,Transaction Type Display,Multiple Method Indicators,2,No,Verify that transactions with multiple methods display appropriate indicators,1,Navigate to https://seitrace.com/txs,Transaction table is displayed with multiple transactions,N/A,
,,,,,,,,2,Look for transactions with multiple method calls in the Type & Method column,"Additional methods are indicated with ""+1"", ""+2"" etc. depending on the number of additional methods",N/A,
TXS_024,"Kiểm tra khi nhấn vào +1, +2, hiện popup hiển thị chính xác các tags bị ẩn",Method popup display on indicator click,Transaction Type Display,Method Popup,2,No,Verify that clicking on method indicators shows popup with hidden tags,1,Navigate to https://seitrace.com/txs,Transaction table is displayed with multiple transactions,N/A,
,,,,,,,,2,"Find a transaction with ""+1"" or ""+2"" indicator in Type & Method column",Additional method indicator is visible,N/A,
,,,,,,,,3,"Click on the ""+1"" or ""+2"" indicator",Popup appears showing all hidden tags/methods,N/A,
,,,,,,,,4,Verify the content of the popup,All hidden methods are displayed correctly in the popup,N/A,
TXS_025,Kiểm tra giá trị Fee SEI được làm tròn đến 6 chữ số,Fee SEI value rounding,Transaction Fee Display,Fee Rounding,2,Yes,Verify that Fee SEI values are rounded to 6 decimal places,1,Navigate to https://seitrace.com/txs,Transaction table is displayed with multiple transactions,N/A,
,,,,,,,,2,Examine the Fee SEI column values,All Fee SEI values are rounded to 6 decimal places,"Example values: 0.000077, 0.000415, 0.000067",
TXS_026,"Kiểm tra khi hover vào giá trị Fee SEI, hiển thị đầy đủ giá trị không bị làm tròn",Fee SEI full value on hover,Transaction Fee Display,Fee Tooltip,2,No,Verify that hovering over Fee SEI values shows full unrounded values,1,Navigate to https://seitrace.com/txs,Transaction table is displayed with multiple transactions,N/A,
,,,,,,,,2,Hover over a Fee SEI value in the Fee SEI column,Tooltip appears showing the full unrounded value of the fee,N/A,
TXS_027,"Kiểm tra nút ""First"" bị vô hiệu hóa khi đang ở trang đầu tiên",First button disabled state,Pagination,First Page Navigation,1,Yes,Verify that First button is disabled when on the first page,1,Navigate to https://seitrace.com/txs,The first page of transactions is displayed,N/A,
,,,,,,,,2,"Check the state of the ""First"" pagination button","The ""First"" button is disabled (grayed out or not clickable)",N/A,
TXS_028,"Kiểm tra nút ""Previous"" bị vô hiệu hóa khi đang ở trang đầu tiên",Previous button disabled state,Pagination,Previous Page Navigation,1,Yes,Verify that Previous button is disabled when on the first page,1,Navigate to https://seitrace.com/txs,The first page of transactions is displayed,N/A,
,,,,,,,,2,"Check the state of the ""Previous"" pagination button","The ""Previous"" button is disabled (grayed out or not clickable)",N/A,
TXS_029,"Kiểm tra nút ""Next"" hoạt động chính xác khi chuyển đến trang tiếp theo",Next button functionality,Pagination,Next Page Navigation,1,Yes,Verify that Next button navigates to the next page correctly,1,Navigate to https://seitrace.com/txs,The first page of transactions is displayed,N/A,
,,,,,,,,2,Note the transaction data on the current page,Transaction data is visible and can be referenced,N/A,
,,,,,,,,3,"Click on the ""Next"" pagination button",The second page of transactions is loaded with different transaction data,N/A,
TXS_030,"Kiểm tra nút ""Previous"" hoạt động chính xác khi chuyển về trang trước đó",Previous button functionality,Pagination,Previous Page Navigation,1,Yes,Verify that Previous button navigates to the previous page correctly,1,Navigate to https://seitrace.com/txs,The first page of transactions is displayed,N/A,
,,,,,,,,2,"Click on the ""Next"" pagination button",The second page of transactions is loaded,N/A,
,,,,,,,,3,Note the transaction data on the current (second) page,Transaction data is visible and can be referenced,N/A,
,,,,,,,,4,"Click on the ""Previous"" pagination button",The first page of transactions is loaded again with the original transaction data,N/A,
TXS_031,"Kiểm tra nút ""First"" hoạt động chính xác khi quay về trang đầu tiên từ bất kỳ trang nào",First button functionality,Pagination,First Page Navigation,1,Yes,Verify that First button navigates to the first page correctly from any page,1,Navigate to https://seitrace.com/txs,The first page of transactions is displayed,N/A,
,,,,,,,,2,"Click on the ""Next"" pagination button multiple times to navigate to a page beyond the second page",A page beyond the second page is loaded,N/A,
,,,,,,,,3,"Click on the ""First"" pagination button",The first page of transactions is loaded with the original transaction data,N/A,
TXS_032,Kiểm tra số trang hiện tại hiển thị chính xác,Current page number display,Pagination,Current Page Indicator,2,Yes,Verify that the current page number is displayed correctly,1,Navigate to https://seitrace.com/txs,"The pagination area shows ""1"" as the current page",N/A,
,,,,,,,,2,"Click on the ""Next"" pagination button","The pagination area updates to show ""2"" as the current page",N/A,
,,,,,,,,3,"Click on the ""Next"" pagination button again","The pagination area updates to show ""3"" as the current page",N/A,
,,,,,,,,4,"Click on the ""Previous"" pagination button","The pagination area updates to show ""2"" as the current page",N/A,
TXS_033,"Kiểm tra không có nút ""Last"" trong phân trang",Absence of Last page button,Pagination,Last Page Button,3,Yes,Verify that there is no Last page button in the pagination,1,Navigate to https://seitrace.com/txs,The pagination controls are visible,N/A,
,,,,,,,,2,Check all pagination controls,"There is no ""Last"" button present in the pagination controls",N/A,
TXS_034,Kiểm tra thời gian tải trang ban đầu không quá 3 giây,Initial page load time,Performance,Initial Load Time,2,Yes,Verify that the transactions page loads within 3 seconds,1,Navigate to https://seitrace.com/txs while measuring the load time,The page fully loads and becomes interactive within 3 seconds,N/A,
TXS_035,Kiểm tra thời gian tải khi chuyển tab giữa EVM và Native SEI không quá 2 giây,Tab switching load time,Performance,Tab Switching Time,2,Yes,Verify that switching between EVM and Native SEI tabs takes less than 2 seconds,1,Navigate to https://seitrace.com/txs,EVM tab is selected by default,N/A,
,,,,,,,,2,"Click on the ""Native SEI"" tab while measuring the load time",The Native SEI tab content loads within 2 seconds,N/A,
,,,,,,,,3,"Click on the ""EVM"" tab while measuring the load time",The EVM tab content loads within 2 seconds,N/A,
TXS_036,Kiểm tra giao diện hiển thị đúng trên các kích thước màn hình khác nhau (responsive),Responsive design across screen sizes,User Interface,Responsive Design,2,No,Verify that the transactions page displays correctly on different screen sizes,1,Open https://seitrace.com/txs on a desktop browser and resize the window to different widths,The page layout adjusts appropriately to different window sizes,N/A,
,,,,,,,,2,Open https://seitrace.com/txs on a tablet device or emulator,The page displays correctly with appropriate layout for tablet screen size,N/A,
,,,,,,,,3,Open https://seitrace.com/txs on a mobile device or emulator,The page displays correctly with appropriate layout for mobile screen size,N/A,
TXS_037,Kiểm tra thời gian phản hồi khi nhấn vào transaction hash hoặc block không quá 3 giây,Transaction and block navigation response time,Performance,Navigation Response Time,3,Yes,Verify that navigation to transaction or block details occurs within 3 seconds,1,Navigate to https://seitrace.com/txs,Transaction table is displayed with multiple transactions,N/A,
,,,,,,,,2,Click on a transaction hash while measuring the response time,Navigation to transaction details page occurs within 3 seconds,Example hash: 0x33d3f10ce2cfa...,
,,,,,,,,3,Navigate back to https://seitrace.com/txs,Transaction table is displayed again,N/A,
,,,,,,,,4,Click on a block number while measuring the response time,Navigation to block details page occurs within 3 seconds,"Example block: 142,644,560",
TXS_038,"Kiểm tra trang hoạt động đúng trên các trình duyệt phổ biến (Chrome, Firefox, Safari)",Cross-browser compatibility,Browser Compatibility,Cross-Browser Functionality,3,No,Verify that the transactions page works correctly across different browsers,1,Open https://seitrace.com/txs in Google Chrome,The page displays and functions correctly,N/A,
,,,,,,,,2,Open https://seitrace.com/txs in Mozilla Firefox,The page displays and functions correctly with the same appearance and behavior as in Chrome,N/A,
,,,,,,,,3,Open https://seitrace.com/txs in Safari (if available),The page displays and functions correctly with the same appearance and behavior as in Chrome and Firefox,N/A,
,,,,,,,,4,"Test basic functionality in each browser: tab switching, pagination, clicking on transaction hashes and blocks",All functionality works consistently across browsers,N/A,
